"STATISTIC","Quarter","Type of House","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2018Q1","Scheme house","Waterford City & County Council","Number","45"
"New Dwelling Completion","2018Q1","Scheme house","Westmeath County Council","Number","3"
"New Dwelling Completion","2018Q1","Scheme house","Wicklow County Council","Number","112"
"New Dwelling Completion","2018Q1","Scheme house","Wexford County Council","Number","37"
"New Dwelling Completion","2018Q1","Scheme house","Ireland","Number","2016"
"New Dwelling Completion","2018Q1","Apartment","Cork City Council","Number","7"
"New Dwelling Completion","2018Q1","Apartment","Clare County Council","Number","0"
"New Dwelling Completion","2018Q1","Apartment","Cavan County Council","Number","0"
"New Dwelling Completion","2018Q1","Apartment","Cork County Council","Number","20"
"New Dwelling Completion","2018Q1","Apartment","Carlow County Council","Number","3"
"New Dwelling Completion","2018Q1","Apartment","Dublin City Council","Number","166"
"New Dwelling Completion","2018Q1","Apartment","Dún Laoghaire Rathdown County Council","Number","85"
"New Dwelling Completion","2018Q1","Apartment","Donegal County Council","Number","0"
"New Dwelling Completion","2018Q1","Apartment","Fingal County Council","Number","107"
"New Dwelling Completion","2018Q1","Apartment","Galway County Council","Number","4"
"New Dwelling Completion","2018Q1","Apartment","Galway City Council","Number","4"
"New Dwelling Completion","2018Q1","Apartment","Kildare County Council","Number","8"
"New Dwelling Completion","2018Q1","Apartment","Kilkenny County Council","Number","0"
"New Dwelling Completion","2018Q1","Apartment","Kerry County Council","Number","10"
"New Dwelling Completion","2018Q1","Apartment","Longford County Council","Number","0"
"New Dwelling Completion","2018Q1","Apartment","Louth County Council","Number","5"
"New Dwelling Completion","2018Q1","Apartment","Limerick City & County Council","Number","4"
"New Dwelling Completion","2018Q1","Apartment","Leitrim County Council","Number","1"
"New Dwelling Completion","2018Q1","Apartment","Laois County Council","Number","6"
"New Dwelling Completion","2018Q1","Apartment","Meath County Council","Number","2"
"New Dwelling Completion","2018Q1","Apartment","Monaghan County Council","Number","1"
"New Dwelling Completion","2018Q1","Apartment","Mayo County Council","Number","3"
"New Dwelling Completion","2018Q1","Apartment","Offaly County Council","Number","0"
"New Dwelling Completion","2018Q1","Apartment","Roscommon County Council","Number","6"
"New Dwelling Completion","2018Q1","Apartment","South Dublin County Council","Number","10"
"New Dwelling Completion","2018Q1","Apartment","Sligo County Council","Number","0"
"New Dwelling Completion","2018Q1","Apartment","Tipperary County Council","Number","10"
"New Dwelling Completion","2018Q1","Apartment","Waterford City & County Council","Number","0"
"New Dwelling Completion","2018Q1","Apartment","Westmeath County Council","Number","4"
"New Dwelling Completion","2018Q1","Apartment","Wicklow County Council","Number","4"
"New Dwelling Completion","2018Q1","Apartment","Wexford County Council","Number","5"
"New Dwelling Completion","2018Q1","Apartment","Ireland","Number","475"
"New Dwelling Completion","2018Q1","All house types","Cork City Council","Number","120"
"New Dwelling Completion","2018Q1","All house types","Clare County Council","Number","57"
"New Dwelling Completion","2018Q1","All house types","Cavan County Council","Number","35"
"New Dwelling Completion","2018Q1","All house types","Cork County Council","Number","223"
"New Dwelling Completion","2018Q1","All house types","Carlow County Council","Number","47"
"New Dwelling Completion","2018Q1","All house types","Dublin City Council","Number","329"
"New Dwelling Completion","2018Q1","All house types","Dún Laoghaire Rathdown County Council","Number","212"
"New Dwelling Completion","2018Q1","All house types","Donegal County Council","Number","87"
"New Dwelling Completion","2018Q1","All house types","Fingal County Council","Number","410"
"New Dwelling Completion","2018Q1","All house types","Galway County Council","Number","114"
"New Dwelling Completion","2018Q1","All house types","Galway City Council","Number","31"
"New Dwelling Completion","2018Q1","All house types","Kildare County Council","Number","245"
"New Dwelling Completion","2018Q1","All house types","Kilkenny County Council","Number","29"
"New Dwelling Completion","2018Q1","All house types","Kerry County Council","Number","96"
"New Dwelling Completion","2018Q1","All house types","Longford County Council","Number","14"
"New Dwelling Completion","2018Q1","All house types","Louth County Council","Number","125"
"New Dwelling Completion","2018Q1","All house types","Limerick City & County Council","Number","126"
"New Dwelling Completion","2018Q1","All house types","Leitrim County Council","Number","15"
"New Dwelling Completion","2018Q1","All house types","Laois County Council","Number","39"
"New Dwelling Completion","2018Q1","All house types","Meath County Council","Number","293"
"New Dwelling Completion","2018Q1","All house types","Monaghan County Council","Number","25"
"New Dwelling Completion","2018Q1","All house types","Mayo County Council","Number","70"
"New Dwelling Completion","2018Q1","All house types","Offaly County Council","Number","26"
"New Dwelling Completion","2018Q1","All house types","Roscommon County Council","Number","31"
"New Dwelling Completion","2018Q1","All house types","South Dublin County Council","Number","242"
"New Dwelling Completion","2018Q1","All house types","Sligo County Council","Number","32"
"New Dwelling Completion","2018Q1","All house types","Tipperary County Council","Number","38"
"New Dwelling Completion","2018Q1","All house types","Waterford City & County Council","Number","68"
"New Dwelling Completion","2018Q1","All house types","Westmeath County Council","Number","36"
"New Dwelling Completion","2018Q1","All house types","Wicklow County Council","Number","140"
"New Dwelling Completion","2018Q1","All house types","Wexford County Council","Number","103"
"New Dwelling Completion","2018Q1","All house types","Ireland","Number","3458"
"New Dwelling Completion","2018Q2","Single house","Cork City Council","Number","19"
"New Dwelling Completion","2018Q2","Single house","Clare County Council","Number","36"
"New Dwelling Completion","2018Q2","Single house","Cavan County Council","Number","23"
"New Dwelling Completion","2018Q2","Single house","Cork County Council","Number","154"
"New Dwelling Completion","2018Q2","Single house","Carlow County Council","Number","21"
"New Dwelling Completion","2018Q2","Single house","Dublin City Council","Number","10"
"New Dwelling Completion","2018Q2","Single house","Dún Laoghaire Rathdown County Council","Number","17"
"New Dwelling Completion","2018Q2","Single house","Donegal County Council","Number","75"
"New Dwelling Completion","2018Q2","Single house","Fingal County Council","Number","29"
"New Dwelling Completion","2018Q2","Single house","Galway County Council","Number","103"
"New Dwelling Completion","2018Q2","Single house","Galway City Council","Number","4"
"New Dwelling Completion","2018Q2","Single house","Kildare County Council","Number","38"
"New Dwelling Completion","2018Q2","Single house","Kilkenny County Council","Number","33"
"New Dwelling Completion","2018Q2","Single house","Kerry County Council","Number","46"
"New Dwelling Completion","2018Q2","Single house","Longford County Council","Number","12"
"New Dwelling Completion","2018Q2","Single house","Louth County Council","Number","30"
"New Dwelling Completion","2018Q2","Single house","Limerick City & County Council","Number","56"
"New Dwelling Completion","2018Q2","Single house","Leitrim County Council","Number","13"
"New Dwelling Completion","2018Q2","Single house","Laois County Council","Number","28"
"New Dwelling Completion","2018Q2","Single house","Meath County Council","Number","62"
"New Dwelling Completion","2018Q2","Single house","Monaghan County Council","Number","28"
"New Dwelling Completion","2018Q2","Single house","Mayo County Council","Number","57"
"New Dwelling Completion","2018Q2","Single house","Offaly County Council","Number","20"
"New Dwelling Completion","2018Q2","Single house","Roscommon County Council","Number","23"
"New Dwelling Completion","2018Q2","Single house","South Dublin County Council","Number","9"
"New Dwelling Completion","2018Q2","Single house","Sligo County Council","Number","19"
"New Dwelling Completion","2018Q2","Single house","Tipperary County Council","Number","41"
"New Dwelling Completion","2018Q2","Single house","Waterford City & County Council","Number","29"
"New Dwelling Completion","2018Q2","Single house","Westmeath County Council","Number","26"
"New Dwelling Completion","2018Q2","Single house","Wicklow County Council","Number","29"
"New Dwelling Completion","2018Q2","Single house","Wexford County Council","Number","60"
"New Dwelling Completion","2018Q2","Single house","Ireland","Number","1150"
"New Dwelling Completion","2018Q2","Scheme house","Cork City Council","Number","71"
"New Dwelling Completion","2018Q2","Scheme house","Clare County Council","Number","19"
"New Dwelling Completion","2018Q2","Scheme house","Cavan County Council","Number","11"
"New Dwelling Completion","2018Q2","Scheme house","Cork County Council","Number","146"
"New Dwelling Completion","2018Q2","Scheme house","Carlow County Council","Number","23"
"New Dwelling Completion","2018Q2","Scheme house","Dublin City Council","Number","184"
"New Dwelling Completion","2018Q2","Scheme house","Dún Laoghaire Rathdown County Council","Number","177"
"New Dwelling Completion","2018Q2","Scheme house","Donegal County Council","Number","14"
"New Dwelling Completion","2018Q2","Scheme house","Fingal County Council","Number","593"
"New Dwelling Completion","2018Q2","Scheme house","Galway County Council","Number","20"
"New Dwelling Completion","2018Q2","Scheme house","Galway City Council","Number","32"
"New Dwelling Completion","2018Q2","Scheme house","Kildare County Council","Number","218"
"New Dwelling Completion","2018Q2","Scheme house","Kilkenny County Council","Number","15"
"New Dwelling Completion","2018Q2","Scheme house","Kerry County Council","Number","33"
